City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,al wajh,26.2455,36.4525,22.51,46,0,10.3,SA,2025-03-20 12:15:25
108,tqvarch'eli,42.8404,41.6801,4.46,89,100,2.38,GE,2025-03-20 12:15:26
109,tannum sands,-23.9504,151.3693,25.42,78,55,1.54,AU,2025-03-20 12:15:27
110,fernley,39.608,-119.2518,5.88,53,53,1.34,US,2025-03-20 12:15:28
111,kill devil hills,36.0307,-75.676,13.01,74,0,2.57,US,2025-03-20 12:15:29
112,hawaiian paradise park,19.5933,-154.9731,19.94,96,75,2.57,US,2025-03-20 12:15:31
113,zagora,30.3484,-5.8365,25.32,13,0,6.73,MA,2025-03-20 12:15:32
114,bubaque,11.2833,-15.8333,22.29,76,96,1.51,GW,2025-03-20 12:15:33
115,keflavik,64.0049,-22.5624,5.24,93,100,4.12,IS,2025-03-20 12:15:34
116,puerto gaitan,4.3133,-72.0816,25.86,79,100,1.46,CO,2025-03-20 12:15:35
117,villa regina,-39.1,-67.0667,20.55,31,35,0.89,AR,2025-03-20 12:15:37
118,isafjordur,66.0755,-23.124,6.02,75,75,1.54,IS,2025-03-20 12:15:38
119,motueka,-41.1333,173.0167,11.2,90,1,2.21,NZ,2025-03-20 12:15:39
120,harstad,68.799,16.5293,-1.58,91,100,1.79,NO,2025-03-20 12:15:40
121,thompson,55.7435,-97.8558,-18.31,99,100,2.2,CA,2025-03-20 12:14:35
122,cidreira,-30.1811,-50.2056,22.9,68,3,1.5,BR,2025-03-20 12:15:43
123,waterloo,43.4668,-80.5164,9.93,92,100,7.72,CA,2025-03-20 12:15:44
124,buala,-8.145,159.5921,26.8,82,86,1.45,SB,2025-03-20 12:15:45
125,sisimiut,66.9395,-53.6735,-11.23,69,96,6.45,GL,2025-03-20 12:15:46
126,portland,45.5234,-122.6762,7.12,90,100,7.2,US,2025-03-20 12:11:08
127,pulaski,34.7668,-92.3001,6.29,63,75,9.77,US,2025-03-20 12:15:49
128,hermanus,-34.4187,19.2345,23.66,67,96,3.38,ZA,2025-03-20 12:15:50
129,saruhanli,38.7346,27.5681,11.36,43,84,7.53,TR,2025-03-20 12:15:51
